row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
D,8,190.9,FALSE,FALSE,FALSE,1.4,6.3,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D8,0.6799999999999999,12.0267
D,5,343.8,FALSE,FALSE,FALSE,1,6.8,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D5,0.77,23.378400000000003
D,5,219.4,FALSE,FALSE,FALSE,0.9,6.7,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D5,0.8,14.699800000000002
D,6,136.7,FALSE,FALSE,FALSE,1.1,7.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D6,0.75,10.389199999999999
D,8,198,FALSE,FALSE,FALSE,1.2,6.4,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D8,0.73,12.672
D,5,290.1,FALSE,FALSE,FALSE,1.1,6.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D5,0.75,18.8565
D,8,215.9,FALSE,FALSE,FALSE,0.2,7.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D8,0.95,16.1925
D,7,145.2,FALSE,FALSE,FALSE,1.5,7.4,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D7,0.6599999999999999,10.744800000000001
D,6,81,FALSE,FALSE,FALSE,1,7.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D6,0.77,6.075
D,8,128,FALSE,FALSE,FALSE,1.1,6.8,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D8,0.75,8.704
D,6,116.7,TRUE,TRUE,FALSE,NA,NA,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D6,NA,NA
C,11,185.4,FALSE,FALSE,FALSE,1.4,6.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C11,0.6799999999999999,12.051
C,9,232.9,FALSE,FALSE,FALSE,1.4,6.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C9,0.6799999999999999,15.371400000000001
C,9,122.5,FALSE,FALSE,FALSE,1.5,6.3,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C9,0.6599999999999999,7.7175
C,6,319.1,FALSE,FALSE,FALSE,0.9,5.7,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C6,0.8,18.1887
C,5,329,FALSE,FALSE,FALSE,1,6.7,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C5,0.77,22.043000000000003
D,5,84.7,FALSE,FALSE,FALSE,1,6.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D5,0.77,5.5902
C,7,159.3,FALSE,FALSE,FALSE,1,6.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C7,0.77,10.354500000000002
